OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,BLDGID,MEAN_AVGHT,Shape_Leng,donut,Field1,OID_,Time_UTC,Lat,Lon,Temp_K_,DewPoint_K_,RelHumid,Pressure,RadDir_Wm_2_,RadDiff_Wm_2_,LWRad,SWNorm,SWRad,WindDir_from_,WindSpeed_ms_1_,SnowDepth_cm_,x,coord,coord_X,coord_Y,T_F,BUFF_DIST,ORIG_FID,ORIG_FID_1,Shape_Area_1,Shape_Length,Shape_Area
14,2,13,14,21.000000000000000,9.100000000000000,0.000689932097656,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000020464462
15,1,14,15,22.000000000000000,8.720000000000001,0.000689932073981,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000020464547
16,1,15,16,23.000000000000000,7.600000000000000,0.000421903052436,0,255,255,2015-01-01_00:00:00,41.867870000000003,-87.627533000000000,268.072540000000000,254.842209000000000,33.848323999999998,100117.617188000000000,0,0,181.877350000000010,0,0,239.945038000000010,7.616955000000000,0,NA,41.86787 -87.627533,-87.627533000000000,41.867870000000003,22.860572000000001,45.000000000000000,255,255,0.000000878399211,0.003788688000100,0.000000010017190
17,2,16,17,24.000000000000000,8.730000000000000,0.000689933896095,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000020464704
18,1,17,18,25.000000000000000,8.800000000000001,0.000689934763026,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000020464822
19,2,18,19,29.000000000000000,3.160000000000000,0.000596448648245,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000011534465
20,1,19,20,30.000000000000000,3.200000000000000,0.000633151912039,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000010964077
21,2,20,21,31.000000000000000,6.940000000000000,0.000446459643304,0,255,255,2015-01-01_00:00:00,41.867870000000003,-87.627533000000000,268.072540000000000,254.842209000000000,33.848323999999998,100117.617188000000000,0,0,181.877350000000010,0,0,239.945038000000010,7.616955000000000,0,NA,41.86787 -87.627533;41.868717 -87.627563,-87.627533000000000,41.867870000000003,22.860572000000001,45.000000000000000,255,255,0.000000878399211,0.003788688000100,0.000000011622273
22,3,21,22,32.000000000000000,15.570000000000000,0.002581306733980,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662;41.86787 -87.627533;41.86871 -87.628693,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000208319324
23,2,22,23,33.000000000000000,3.100000000000000,0.000706392820108,0,275,275,2015-01-01_00:00:00,41.868710000000000,-87.629822000000004,268.065674000000000,254.834533999999990,33.844329999999999,100103.218750000000000,0,0,181.916991999999990,0,0,240.499466000000010,7.714350000000000,0,NA,41.86871 -87.629822;41.86871 -87.628693,-87.629822000000004,41.868710000000000,22.848213200000000,45.000000000000000,275,275,0.000000878412175,0.003788720000102,0.000000015602719
